profil_id,age,sexe,region,serie_bac,moyenne_generale,note_mathematiques,note_physique_chimie,note_svt,note_francais,note_malgache,note_anglais,note_histoire_geo,note_philosophie,note_economie,note_informatique,note_arts,note_eps,matieres_preferees,competences_declarees,centres_interet,activites_projets,preferences_professionnelles,environnement_travail_recherche,mention_recommandee,parcours_recommande,parcours_recommande_nom,profil_ambigu,parcours_alternatif_plausible
P00015,19,M,Itasy,A2,13.75,13.1,12.7,13.5,16.4,13.7,14.9,18.6,10.4,11.8,14.7,15.7,9.5,Arts; Francais; Histoire_Geo,management hôtelier et restauration; autonomie; esprit d'équipe; rigueur; langues étrangères,Cultures du monde; Bénévolat associatif,aime cuisiner et découvrir des plats d'autres cultures; participe à des activités associatives ou de bénévolat,Chef de produit touristique; Organisateur d'événements (MICE); avoir un poste à responsabilités,Contact clientèle/Relationnel,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",False,
P00016,20,F,Vatovavy,D,12.61,13.0,14.7,15.3,11.0,12.0,12.3,13.4,11.8,10.7,11.0,12.0,14.1,EPS; Histoire_Geo; Mathematiques; Physique_Chimie; SVT,sens de l'organisation; gestion de laboratoire d'analyses médicales; créativité,Agriculture; Nature; Lecture,s'occupe d'un petit élevage ou d'un jardin potager; a participé à un club de sciences naturelles ou d'écologie; participe à des activités associatives ou de bénévolat,Ingénieur de laboratoire médical; Délégué médical,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,False,
P00017,18,M,Vakinankaratra,C,11.9,15.2,15.3,10.8,8.2,9.8,13.7,11.5,11.4,11.9,15.6,9.8,9.6,Anglais; Informatique; Mathematiques; Physique_Chimie,"administration de bases de données; aisance relationnelle; conception logicielle (UML, Merise); curiosité",Programmation; Lecture,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a participé à un club informatique ou de robotique au lycée,Consultant en systèmes d'information et IA,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00018,19,F,Menabe,C,8.69,8.3,10.9,11.0,8.3,8.7,8.8,9.1,6.7,10.0,8.3,8.6,5.6,Economie; Physique_Chimie; SVT,raffinage et pétrochimie; sens de l'organisation; sens de l'observation; persévérance,Santé; Bénévolat associatif,a effectué un stage d'observation dans un atelier ou une usine,Responsable HSE; Ingénieur en génie des procédés chimiques,Atelier/Industriel,Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",True,IAA
P00019,17,M,Itasy,D,14.43,17.8,14.9,15.3,12.8,15.4,12.2,13.4,13.4,16.7,15.2,12.0,14.1,Economie; Malgache; Mathematiques; SVT,analyse statistique et probabilités appliquées; traitement de données massives (Big Data); aisance relationnelle; sens de l'organisation; machine learning et deep learning,Jeux vidéo; Musique,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Ingénieur Machine Learning; Analyste Big Data,Mixte/Itinérant,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",False,
P00020,17,F,Ihorombe,S,14.52,14.3,15.2,12.7,12.7,13.1,15.1,14.1,14.2,14.4,17.8,15.0,15.6,EPS; Malgache; Physique_Chimie,gestion de projets informatiques; administration de bases de données; créativité; sens de l'organisation,Jeux vidéo; Bénévolat associatif,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Architecte logiciel,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00021,20,M,Sava,S,11.09,13.2,12.3,9.7,14.1,8.4,8.7,13.5,9.3,8.3,8.0,17.3,10.3,Arts; Francais; Histoire_Geo,sens de l'observation; rigueur; ingénierie des infrastructures routières et hydrauliques; conception architecturale (AutoCAD/ArchiCAD); esprit d'équipe; gestion de chantier; curiosité,Architecture; Dessin et design; Sport,aime dessiner des plans de maisons ou des croquis d'aménagement; a réalisé des maquettes ou des plans de construction pour un projet scolaire,Ingénieur en Bureau d'Études,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00022,17,F,Atsimo-Atsinanana,A2,11.88,13.8,9.7,9.5,10.7,12.4,13.6,15.4,9.4,13.9,13.7,11.3,9.2,Anglais; Economie; Histoire_Geo; Informatique; Mathematiques,pilotage et planification de projets; gestion financière prévisionnelle; aisance relationnelle; esprit d'équipe; autonomie; sens de l'organisation,Entrepreneuriat; Réseaux sociaux,a participé à un club de débat ou un simulacre de procès au lycée; gère les comptes d'une association d'élèves; participe à des activités associatives ou de bénévolat,Responsable suivi-évaluation de projets; Chef de projet; avoir un métier stable,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,True,CAA
P00023,19,F,Ihorombe,A2,9.87,9.2,7.0,12.2,11.0,8.8,10.5,10.3,11.2,8.1,10.6,8.8,10.7,EPS; Economie; Philosophie; SVT,conception de produits touristiques; autonomie; créativité; esprit d'équipe; management hôtelier et restauration; accueil et relation client,Cultures du monde,a organisé un voyage ou un événement pour son groupe d'amis,Chef de produit touristique; créer sa propre entreprise,Mixte/Itinérant,Tourisme,TEH,"Tourisme, Environnement et Hôtellerie",True,
P00024,19,F,Androy,OSE,11.88,12.2,15.1,12.8,10.7,11.1,10.2,12.4,10.3,13.2,13.0,10.7,10.8,Economie; Informatique; Physique_Chimie,autonomie; sens de l'observation; persévérance; management stratégique; esprit d'équipe; analyse économique et économétrie,Économie; Gestion,s'intéresse à l'actualité économique et suit des chaînes d'information; gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Chef de projet; Planificateur stratégique; créer sa propre entreprise,Bureau/Numérique,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00025,20,M,Ihorombe,C,10.43,11.6,14.0,10.3,9.4,11.0,11.2,10.3,9.3,8.5,11.2,10.1,8.2,Anglais; Informatique; Mathematiques; Physique_Chimie,autonomie; robotique et domotique; systèmes embarqués et IoT; sens de l'organisation; esprit d'équipe; curiosité; maintenance hardware et microcontrôleurs,Réseaux sociaux et numérique; Réseaux sociaux,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a participé à un club informatique ou de robotique au lycée; a occupé un petit job ou une activité rémunérée pendant les vacances,Spécialiste en robotique et domotique; Ingénieur système et réseau,Mixte/Itinérant,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00026,17,M,Alaotra-Mangoro,S,13.53,14.4,13.6,12.2,14.8,14.2,14.1,13.5,14.9,12.9,14.3,11.7,11.7,Francais; Informatique; Mathematiques; Philosophie,business intelligence; persévérance; curiosité; analyse statistique et probabilités appliquées,Réseaux sociaux et numérique; Bénévolat associatif,a monté et dépanné des ordinateurs pour son entourage; a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a occupé un petit job ou une activité rémunérée pendant les vacances,Analyste Big Data; Responsable Business Intelligence; avoir un métier stable,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",True,IGGLIA
P00027,17,F,Atsimo-Andrefana,D,12.28,13.3,9.5,11.2,11.7,13.6,13.3,12.1,10.6,13.3,11.9,14.3,12.5,Arts; Malgache; Mathematiques,esprit d'équipe; curiosité; développement web et mobile multimédia; production et montage audiovisuel,Réseaux sociaux et numérique; Lecture,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne,Ingénieur en technologies de la communication; avoir un métier stable,Bureau/Numérique,Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",False,
P00028,17,M,Betsiboka,D,13.03,11.4,12.4,17.4,12.2,12.7,10.1,15.7,9.1,15.5,13.6,12.1,14.1,EPS; Economie; Histoire_Geo; SVT,aisance relationnelle; créativité; productions végétales et animales; esprit d'analyse; sens de l'organisation,Agriculture; Environnement,aide régulièrement dans l'exploitation agricole familiale,Expert en agri-business; Responsable de production animale,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00029,19,F,Vakinankaratra,C,13.83,14.1,14.5,13.0,13.7,13.9,13.4,11.3,12.1,16.5,14.8,14.0,14.7,EPS; Economie; Informatique; Mathematiques; Physique_Chimie,rigueur; esprit d'analyse; gestion d'entreprise; négociation et vente internationale; esprit d'équipe; créativité,Actualité et politique,a participé à un club de débat ou un simulacre de procès au lycée; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable export; Analyste de marché,Bureau/Numérique,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,False,
P00030,18,M,Analamanga,C,12.85,14.3,13.7,14.0,12.6,11.3,13.1,10.6,11.4,11.9,15.9,13.9,11.5,Arts; Informatique; Mathematiques; SVT,"autonomie; sens de l'observation; curiosité; électronique de puissance; automatismes (Grafcet, automates); gestion de production industrielle; aisance relationnelle",Mécanique; Électronique; Musique,aide régulièrement à l'entretien de véhicules en famille; a démonté et réparé des appareils électroménagers ou mécaniques par curiosité; pratique un sport en club depuis plusieurs années,Ingénieur en maintenance industrielle; avoir un métier stable,Terrain/Extérieur,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00031,20,M,Ihorombe,D,13.57,15.6,13.3,12.5,12.6,13.9,14.5,12.0,13.6,16.4,11.8,13.9,12.8,Anglais; Economie; Malgache; Mathematiques,management stratégique; curiosité; analyse économique et économétrie; sens de l'organisation; esprit d'équipe; persévérance,Actualité et politique; Bénévolat associatif,a organisé une petite activité commerciale ou un projet associatif; gère les comptes d'une association d'élèves,Consultant en management; créer sa propre entreprise,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00032,17,M,Androy,S,11.26,15.9,15.0,11.5,7.3,11.6,9.5,9.0,11.1,9.7,10.6,12.4,11.5,Arts; Malgache; Mathematiques; Physique_Chimie,rigueur; autonomie; persévérance; ingénierie des infrastructures routières et hydrauliques,Urbanisme; Lecture,aime dessiner des plans de maisons ou des croquis d'aménagement; pratique un sport en club depuis plusieurs années,Ingénieur en génie civil; Entrepreneur en BTP,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00033,17,M,Itasy,Technique,9.7,11.3,9.5,8.5,11.1,9.7,8.9,9.3,8.8,12.1,7.4,12.6,7.2,Arts; Economie; Francais; Mathematiques,aisance relationnelle; fiscalité d'entreprise; créativité,Entrepreneuriat; Économie; Lecture,s'intéresse à l'actualité économique et suit des chaînes d'information,Directeur Administratif et Financier; Trésorier d'entreprise; contribuer au développement de Madagascar,Bureau/Numérique,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00034,19,M,Diana,D,10.89,14.0,11.7,8.3,12.2,10.1,10.6,9.8,9.6,12.8,12.2,9.9,9.5,Economie; Francais; Informatique; Mathematiques,gestion de projets informatiques; rigueur; sens de l'observation; développement full-stack; curiosité; autonomie,Technologie; Réseaux sociaux et numérique; Lecture,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; a monté et dépanné des ordinateurs pour son entourage,Responsable Business Intelligence,Bureau/Numérique,Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",True,IGGLIA
P00035,17,F,Vakinankaratra,Technique,14.12,16.1,17.7,12.6,15.0,14.1,11.3,15.1,11.5,9.8,18.4,14.7,13.2,Arts; Francais; Histoire_Geo; Informatique; Mathematiques,administration de bases de données; notions d'intelligence artificielle; aisance relationnelle; autonomie; esprit d'analyse,Technologie; Musique,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; a monté et dépanné des ordinateurs pour son entourage; participe à des activités associatives ou de bénévolat,Architecte logiciel; Chef de projet informatique; contribuer au développement de Madagascar,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00036,18,M,Melaky,D,11.64,14.3,14.0,12.9,12.2,11.7,9.9,10.7,11.4,7.9,13.2,12.4,9.1,Informatique; Mathematiques,autonomie; esprit d'analyse; maintenance hardware et microcontrôleurs; sens de l'organisation; robotique et domotique,Programmation; Technologie; Lecture,a créé un compte de jeu vidéo compétitif et anime une petite communauté en ligne; a occupé un petit job ou une activité rémunérée pendant les vacances,Spécialiste en maintenance de systèmes informatisés; Architecte Hardware,Bureau/Numérique,Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",False,
P00037,17,F,Sava,D,11.08,11.7,11.6,12.8,10.4,13.4,8.6,10.7,10.7,14.3,11.0,9.5,8.3,Economie; Malgache; SVT,négociation et vente internationale; autonomie; rigueur; stratégie marketing et commerciale; analyse financière et gestion budgétaire,Gestion; Économie; Réseaux sociaux,gère les comptes d'une association d'élèves; a participé à un club de débat ou un simulacre de procès au lycée; a occupé un petit job ou une activité rémunérée pendant les vacances,Consultant en management; Responsable suivi-évaluation de projets; avoir un métier stable,Bureau/Numérique,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,True,CAA
P00038,18,F,Analanjirofo,Technique,9.73,11.5,11.7,9.1,7.2,12.2,6.4,10.5,10.6,8.3,9.1,10.4,9.8,Histoire_Geo; Malgache; Mathematiques; Philosophie; Physique_Chimie,gestion de chantier; créativité; aisance relationnelle; esprit d'analyse; sens de l'organisation,Construction; Urbanisme,a réalisé des maquettes ou des plans de construction pour un projet scolaire; a visité un chantier de construction dans le cadre d'un stage d'observation,Ingénieur en Bureau d'Études; avoir un poste à responsabilités,Bureau d'études,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00039,17,F,Analanjirofo,A1,12.46,12.8,12.2,13.8,12.0,12.6,14.2,12.9,11.5,13.3,11.1,13.4,9.7,Anglais; Arts; Economie; Histoire_Geo; SVT,esprit d'équipe; rigueur; curiosité; sens de l'organisation; analyse financière et gestion budgétaire,Gestion; Débat et droit; Réseaux sociaux,gère les comptes d'une association d'élèves,Gestionnaire administratif et financier; Responsable export,Contact clientèle/Relationnel,Droit et Techniques des Affaires,CAA,Commerce et Administration des Affaires,False,
P00040,19,F,Amoron'i Mania,D,10.57,8.4,10.5,14.1,10.4,10.0,11.0,11.2,11.0,13.8,8.5,9.0,8.9,Anglais; Economie; Histoire_Geo; Philosophie; SVT,persévérance; agroécologie et agriculture biologique; autonomie; zootechnie et pisciculture; productions végétales et animales,Agriculture; Animaux,s'occupe d'un petit élevage ou d'un jardin potager; a réalisé un exposé scolaire sur la santé ou la biologie,Responsable de production animale; travailler à l'international,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00041,19,F,Fitovinany,S,9.66,12.6,10.0,8.5,10.6,7.4,9.5,8.0,5.4,9.5,8.9,12.4,13.1,Arts; EPS; Francais; Mathematiques,curiosité; sens de l'organisation; persévérance; gestion de chantier; esprit d'équipe; géotechnique; conception architecturale (AutoCAD/ArchiCAD),Urbanisme; Dessin et design; Bénévolat associatif,a réalisé des maquettes ou des plans de construction pour un projet scolaire,Entrepreneur en BTP; Conducteur de travaux; avoir un poste à responsabilités,Bureau d'études,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00042,20,M,Vakinankaratra,S,9.47,7.4,9.0,14.9,10.0,9.3,8.8,11.5,9.3,7.2,8.4,6.5,11.4,EPS; Francais; Histoire_Geo; SVT,créativité; autonomie; productions végétales et animales; persévérance; rigueur,Agriculture; Santé,a réalisé un exposé scolaire sur la santé ou la biologie,Responsable de projet développement rural; avoir un poste à responsabilités,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00043,20,M,Analamanga,C,11.1,11.4,12.9,14.8,9.1,10.5,11.2,12.5,10.7,8.3,10.3,9.3,12.2,Histoire_Geo; Physique_Chimie; SVT,biochimie et R&D; sens de l'observation; curiosité; transformation agroalimentaire,Santé; Nature; Lecture,a participé à un club de sciences naturelles ou d'écologie,Chargé de R&D alimentaire; Responsable Qualité et Hygiène,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,False,
P00044,18,F,Vatovavy,OSE,8.84,7.4,6.2,9.5,10.6,10.8,11.9,8.5,11.4,9.6,8.0,7.2,5.0,Anglais; Malgache; Philosophie,droit foncier et minier; sens de l'organisation; gestion des litiges commerciaux; persévérance; droit des contrats et des sociétés,Économie; Entrepreneuriat,a organisé une petite activité commerciale ou un projet associatif; gère les comptes d'une association d'élèves; pratique un sport en club depuis plusieurs années,Responsable des ressources humaines (volet juridique); Expert en contentieux d'affaires,Bureau/Numérique,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00045,18,M,Bongolava,A2,14.13,13.2,14.1,17.0,14.4,13.7,12.4,13.2,16.0,15.2,14.7,12.9,12.8,Economie; Informatique; Philosophie; SVT,rigueur; zootechnie et pisciculture; sens de l'organisation; esprit d'analyse; aisance relationnelle; productions végétales et animales,Nature,s'occupe d'un petit élevage ou d'un jardin potager; a réalisé un exposé scolaire sur la santé ou la biologie,Responsable de production animale; Expert en agri-business,Laboratoire/Recherche,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00046,17,F,Amoron'i Mania,D,13.32,17.5,13.9,14.9,13.2,10.1,10.4,13.6,12.0,14.6,13.6,12.6,13.5,Economie; Histoire_Geo; Physique_Chimie; SVT,gestion de chantier; géotechnique; aisance relationnelle; esprit d'analyse; persévérance; créativité; calcul de structures (RDM),Construction; Dessin et design,a visité un chantier de construction dans le cadre d'un stage d'observation,Ingénieur en Bureau d'Études; Conducteur de travaux,Bureau d'études,Génie Civil et Architecture,GCA,Génie Civil et Architecture,True,
P00047,19,F,Boeny,D,10.82,12.8,13.8,13.8,10.1,11.2,10.6,9.4,9.6,10.2,8.8,10.9,8.6,Malgache; Mathematiques; Physique_Chimie,créativité; hygiène sécurité environnement (HSE); sens de l'organisation; génie des procédés chimiques,Électronique; Mécanique; Musique,aide régulièrement à l'entretien de véhicules en famille,Responsable HSE,Terrain/Extérieur,Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",False,
P00048,18,F,Alaotra-Mangoro,Technique,11.25,12.4,14.1,9.2,13.5,8.5,11.7,10.7,8.6,10.7,13.0,11.0,11.6,Anglais; Francais; Informatique; Mathematiques; Physique_Chimie,"automatismes (Grafcet, automates); persévérance; conception assistée par ordinateur (AutoCAD); créativité; curiosité",Industrie; Bricolage,a participé à un club de robotique ou de modélisme; a démonté et réparé des appareils électroménagers ou mécaniques par curiosité,Ingénieur en électrotechnique; Concepteur de systèmes IoT industriels,Atelier/Industriel,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,False,
P00049,17,F,Menabe,C,11.57,11.3,12.6,11.8,11.4,11.3,12.4,12.6,11.3,11.9,9.5,9.1,13.6,EPS; Histoire_Geo; Physique_Chimie,curiosité; esprit d'analyse; biochimie et R&D; rigueur; transformation agroalimentaire; autonomie,Santé; Animaux; Bénévolat associatif,aide régulièrement dans l'exploitation agricole familiale; a réalisé un exposé scolaire sur la santé ou la biologie; a occupé un petit job ou une activité rémunérée pendant les vacances,Ingénieur de production en industrie agroalimentaire; contribuer au développement de Madagascar,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,False,
P00050,19,F,Analamanga,S,11.16,12.5,11.4,13.1,8.9,14.0,9.4,14.6,7.9,11.4,13.2,9.3,8.2,Histoire_Geo; Informatique; Malgache; Mathematiques; SVT,créativité; rigueur; agroécologie et agriculture biologique; esprit d'analyse,Environnement; Bénévolat associatif,s'occupe d'un petit élevage ou d'un jardin potager; a réalisé un exposé scolaire sur la santé ou la biologie; a occupé un petit job ou une activité rémunérée pendant les vacances,Responsable de production animale,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,True,IAA
