source,relation,target
Etudiant_P00464,aCentreInteret,Interet_Reseaux_sociaux_et_numerique
Etudiant_P00957,aSerieBac,Prerequis_Baccalaureat_serie_L
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,developpe,Competence_Gestion_de_projets_de_communication_digitale_et_PAO
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Tous_les_metiers_du_secteur_IT_Mention_Informatique_Telecommunications
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_C
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_SGBDR
Competence_Maintenance_multi_technique,estRequisePour,Metier_Responsable_Maintenance
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Genie_fermentaire
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Linux
Etudiant_P00410,prefere,Matiere_Francais
Etudiant_P01067,prefere,Matiere_Histoire_Geo
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Conseiller_juridique_en_entreprise_Juriste_d_affaires
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Economie_monetaire
Etudiant_P00495,possede,Competence_rigueur
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Biochimie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biologie_vegetale
Etudiant_P01348,possede,Competence_aisance_relationnelle
Etudiant_P00410,possede,Competence_aisance_relationnelle
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,developpe,Competence_Modelisation_predictive_Machine_Learning_Deep_Learning
Parcours_Agriculture_et_Elevage,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Biotechnologie
Etudiant_P01335,possede,Competence_curiosite
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Gestion_de_Projet
Parcours_Agriculture_et_Elevage,necessite,Prerequis_Baccalaureat_serie_D
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Base_de_Donnees
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Informatique_Quantique
Etudiant_P01247,aSerieBac,Prerequis_Baccalaureat_serie_DAMB
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,prepareA,Metier_Architecte_Hardware_Responsable_maintenance
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Chimie_industrielle
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_GLCIA
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Economie_mathematique
Etudiant_P01247,aCentreInteret,Interet_Lecture
Competence_Droit_administratif_Constitutionnel,estRequisePour,Metier_Juriste_en_administration_publique
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_ARCHICAD
Parcours_Commerce_et_Administration_des_Affaires,necessite,Prerequis_Baccalaureat_serie_A2
Parcours_Agriculture_et_Elevage,provientDeSource,Source_ISPM_Les_differents_departements_et_filieres
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Immuno_clinique
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Phytochimie
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,developpe,Competence_Conception_et_modelisation_logicielle_avancee_UML_Merise
Parcours_Agriculture_et_Elevage,provientDeSource,Source_ISPM_Presentation_generale
Parcours_Finances_et_Comptabilite,developpe,Competence_Maitrise_de_la_fiscalite_d_entreprise_et_du_droit_des_societes
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Maintenance_des_Systemes_Electroniques
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Atomistique
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Technique_de_vente
Competence_Marketing_International,estRequisePour,Metier_Responsable_export
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Economie_de_l_environnement
Etudiant_P01139,possede,Competence_esprit_d_equipe
Etudiant_P01545,possede,Competence_sens_de_l_organisation
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biologie_Vegetale
Etudiant_P01067,prefere,Matiere_Mathematiques
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Programmation_Logique
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Deep_Learning
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Petrochimie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,necessite,Prerequis_Technique_industrielle
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Metier_des_batiments
Etudiant_P01247,estOrienteVers,Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Cryptographie
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_de_travail
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,developpe,Competence_Maitrise_des_procedes_de_genie_chimique_et_industriel
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,necessite,Prerequis_Baccalaureat_serie_A1
Etudiant_P01479,prefere,Matiere_Philosophie
Etudiant_P01067,possede,Competence_perseverance
Parcours_Genie_Civil_et_Architecture,prepareA,Metier_Architecte_junior_Collaborateur_d_architecte
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Economie_industrielle
Etudiant_P00488,prefere,Matiere_Francais
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Langage_C
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Processus_Stochastique
Etudiant_P01335,estOrienteVers,Parcours_Commerce_et_Administration_des_Affaires
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Electricite
Etudiant_P00305,prefere,Matiere_Informatique
Parcours_Genie_Civil_et_Architecture,prepareA,Metier_Urbaniste_Expert_en_amenagement_du_territoire
Etudiant_P00382,possede,Competence_perseverance
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Reseaux_de_Neurones_Artificiels
Parcours_Agriculture_et_Elevage,necessite,Prerequis_Baccalaureat_serie_A2
Etudiant_P01210,aSerieBac,Prerequis_Baccalaureat_serie_C
Etudiant_P00433,prefere,Matiere_Philosophie
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Methodologie_des_recherches_experimentales
Parcours_Economie_et_Management_de_Projet,developpe,Competence_Maitrise_des_outils_d_analyse_economique_et_econometrie
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Reseaux_informatiques
Parcours_Economie_et_Management_de_Projet,prepareA,Metier_Chef_de_projet_BTP_services_industrie_public_prive
Parcours_Tourisme_Environnement_et_Hotellerie,necessite,Prerequis_Baccalaureat_serie_A1
Etudiant_P00488,prefere,Matiere_Arts
Etudiant_P01210,possede,Competence_autonomie
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Culture_des_plantes
Etudiant_P00957,aCentreInteret,Interet_Gastronomie
Etudiant_P00515,possede,Competence_esprit_d_analyse
Etudiant_P00003,possede,Competence_rigueur
Competence_Procedure_penale_Contentieux,estRequisePour,Metier_Expert_en_contentieux
Parcours_Finances_et_Comptabilite,prepareA,Metier_Analyste_financier_en_banque_ou_cabinet_d_audit
Etudiant_P00402,possede,Competence_rigueur
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Politique_economique
Etudiant_P00488,aSerieBac,Prerequis_Baccalaureat_serie_SS
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Atomistique
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Informatique
Etudiant_P01296,possede,Competence_autonomie
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Economie
Parcours_Agriculture_et_Elevage,prepareA,Metier_Expert_en_agri_business_Entrepreneur_agricole
Etudiant_P00495,aCentreInteret,Interet_Entrepreneuriat
Parcours_Electromecanique_et_Informatique_Industrielle,appartientAMention,Mention_Genie_Industriel
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Gestion_de_Projet
Etudiant_P00493,prefere,Matiere_Anglais
Etudiant_P01296,possede,Competence_perseverance
Etudiant_P01210,aCentreInteret,Interet_Sante
Etudiant_P01317,prefere,Matiere_Informatique
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Structure_de_donnees
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Theorie_des_jeux
Etudiant_P00464,prefere,Matiere_EPS
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Base_de_Donnees
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Java
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Droit_minier
Parcours_Tourisme_Environnement_et_Hotellerie,developpe,Competence_Gestion_environnementale_des_sites_touristiques_et_eco_marine
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,developpe,Competence_Developpement_d_architectures_logicielles_et_integration_d_IA
Parcours_Finances_et_Comptabilite,necessite,Prerequis_Baccalaureat_serie_C
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Procedure_penale
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Protection_integree_des_cultures_et_denrees
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Amenagement_hydrogricole
Competence_Agronomie_Zootechnie,estRequisePour,Metier_Ingenieur_Agronome
Etudiant_P01592,prefere,Matiere_Mathematiques
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Gestion_financiere
Etudiant_P01335,prefere,Matiere_Physique_Chimie
Parcours_Economie_et_Management_de_Projet,necessite,Prerequis_Baccalaureat_serie_L
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Developpeur_multimedia_Webmaster
Parcours_Tourisme_Environnement_et_Hotellerie,prepareA,Metier_Directeur_ou_gestionnaire_d_etablissement_hotelier_Restaurant
Etudiant_P00978,possede,Competence_sens_de_l_organisation
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biochimie_medicale
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Ecotourisme
Etudiant_P00218,possede,Competence_curiosite
Etudiant_P01185,prefere,Matiere_Economie
Etudiant_P00003,prefere,Matiere_Mathematiques
Etudiant_P00978,prefere,Matiere_EPS
Etudiant_P00402,prefere,Matiere_Mathematiques
Etudiant_P00515,prefere,Matiere_Mathematiques
Parcours_Electromecanique_et_Informatique_Industrielle,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Parcours_Finances_et_Comptabilite,necessite,Prerequis_Technique_genie_civil_BTP
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Finance_publique
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Bacteriologie
Competence_Design_UI_UX_Web,estRequisePour,Metier_UX_Designer_Developpeur_Multimedia
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_JavaScript
Competence_Marketing_Negociation,estRequisePour,Metier_Chef_de_produit_marketing
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,prepareA,Metier_Ingenieur_petrolier_prospection_forage_raffinage
Parcours_Electromecanique_et_Informatique_Industrielle,necessite,Prerequis_Baccalaureat_serie_D
Etudiant_P00305,aCentreInteret,Interet_Actualite_et_politique
Etudiant_P00803,aCentreInteret,Interet_Robotique
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,prepareA,Metier_Expert_en_systemes_embarques_et_IoT
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Expert_en_reseaux_de_transmission_et_nouveaux_medias
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,developpe,Competence_Maintenance_avancee_de_systemes_electroniques_et_hardware
Parcours_Tourisme_Environnement_et_Hotellerie,enseigne,Matiere_Gestion_hoteliere
Parcours_Electromecanique_et_Informatique_Industrielle,provientDeSource,Source_ISPM_Les_differents_departements_et_filieres
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Algorithme_Avance
Parcours_Electromecanique_et_Informatique_Industrielle,provientDeSource,Source_ISPM_Presentation_generale
Etudiant_P01317,prefere,Matiere_Francais
Etudiant_P01592,prefere,Matiere_Economie
Etudiant_P01317,possede,Competence_esprit_d_equipe
Etudiant_P01317,possede,Competence_creativite
Etudiant_P00495,estOrienteVers,Parcours_Droit_et_Techniques_Juridiques_des_Affaires
Etudiant_P00957,prefere,Matiere_Francais
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,prepareA,Metier_Tous_les_metiers_du_secteur_IT_Mention_Informatique_Telecommunications
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Ethnopharmacologie
Etudiant_P00826,estOrienteVers,Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle
Etudiant_P00975,aSerieBac,Prerequis_Baccalaureat_serie_C
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Statistiques_appliquees
Competence_Traitement_du_signal_Automatique,estRequisePour,Metier_Ingenieur_en_Automatismes
Etudiant_P00826,prefere,Matiere_Physique_Chimie
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Metallurgie
Etudiant_P00515,possede,Competence_sens_de_l_observation
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Pharmacologie_moleculaire_et_cellulaire
Parcours_Electromecanique_et_Informatique_Industrielle,prepareA,Metier_Responsable_de_production_en_usine_Gestionnaire_d_atelier
Etudiant_P00278,possede,Competence_autonomie
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Gestion_de_projet
Etudiant_P00550,possede,Competence_perseverance
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Chimie_analytique
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Virologie
Competence_Fabrication_pharmaceutique,estRequisePour,Metier_Responsable_de_production
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Institutions_financieres
Etudiant_P00550,estOrienteVers,Parcours_Agriculture_et_Elevage
Etudiant_P00278,possede,Competence_perseverance
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Java
Etudiant_P01545,aCentreInteret,Interet_Musique
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Management
Etudiant_P01317,possede,Competence_sens_de_l_observation
Etudiant_P01067,possede,Competence_creativite
Parcours_Commerce_et_Administration_des_Affaires,necessite,Prerequis_Baccalaureat_serie_OSE
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Maintenance_des_Systemes_Informatiques_Hardware
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Economie_bleu
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,prepareA,Metier_Ingenieur_systeme_et_reseau
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Biochimie_alimentaire
Parcours_Tourisme_Environnement_et_Hotellerie,developpe,Competence_Communication_touristique_et_pratique_des_langues_etrangeres_Anglais_Allemand_Fr
Competence_Art_culinaire_Hygiene,estRequisePour,Metier_Responsable_restauration
Etudiant_P00047,prefere,Matiere_SVT
Parcours_Economie_et_Management_de_Projet,developpe,Competence_Analyse_socio_economique_et_management_de_projet_de_developpement
Parcours_Commerce_et_Administration_des_Affaires,necessite,Prerequis_Technique_agricole_elevage
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Gestion_budgetaire
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,appartientAMention,Mention_Biotechnologie_et_Agronomie
Parcours_Commerce_et_Administration_des_Affaires,developpe,Competence_Elaboration_et_mise_en_uvre_de_strategies_marketing_et_commerciales
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,necessite,Prerequis_Baccalaureat_serie_C
Etudiant_P01479,possede,Competence_esprit_d_analyse
Parcours_Economie_et_Management_de_Projet,enseigne,Matiere_Gestion_d_entreprise
Competence_Audit_Fiscalite,estRequisePour,Metier_Auditeur_fiscal
Parcours_Finances_et_Comptabilite,appartientAMention,Mention_Droit_et_Techniques_des_Affaires
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Informatique_Quantique
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Capteurs
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,developpe,Competence_Analyse_de_donnees_economiques_et_financieres_pour_la_decision
Etudiant_P00460,prefere,Matiere_Malgache
Etudiant_P00975,estOrienteVers,Parcours_Industries_Agroalimentaires
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Gestion_budgetaire
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,prepareA,Metier_Directeur_artistique_numerique_Motion_Designer
Etudiant_P00402,possede,Competence_esprit_d_analyse
Etudiant_P01210,prefere,Matiere_Francais
Etudiant_P01127,prefere,Matiere_Economie
Etudiant_P00493,aCentreInteret,Interet_Debat_et_droit
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Recherche_Operationnelle
Etudiant_P00515,possede,Competence_autonomie
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Technique_bancaire
Parcours_Genie_Civil_et_Architecture,appartientAMention,Mention_Genie_Civil_et_Architecture
Etudiant_P00550,prefere,Matiere_SVT
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Biologie_Cellulaire
Competence_Transformation_agroalimentaire,estRequisePour,Metier_Ingenieur_de_production
Etudiant_P00630,prefere,Matiere_Mathematiques
Parcours_Commerce_et_Administration_des_Affaires,developpe,Competence_Analyse_financiere_gestion_budgetaire_et_comptabilite_financiere
Etudiant_P00475,estOrienteVers,Parcours_Droit_et_Techniques_Juridiques_des_Affaires
Etudiant_P00515,possede,Competence_perseverance
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Virologie_medicale
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,developpe,Competence_Design_d_interfaces_graphiques_et_experience_utilisateur_UI_UX
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Cybersecurite
Parcours_Industries_Agroalimentaires,prepareA,Metier_Ingenieur_de_production_en_industrie_agroalimentaire
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,enseigne,Matiere_Geometrie_analytique
