id,label,type
Source_ISPM_Conditions_d_acces_en_premiere_annee,ISPM — Conditions d'accès en première année,Source
Etudiant_P01225,P01225,Etudiant
Prerequis_Baccalaureat_serie_TPFM,Baccalauréat série TPFM,Prerequis
Matiere_Etude_d_impact_environnemental,Etude d'impact environnemental,Matiere
Matiere_technologie_et_transformation_du_cafe_et_cacao,technologie et transformation du café et cacao,Matiere
Matiere_Hydraulique,Hydraulique,Matiere
Etudiant_P01296,P01296,Etudiant
Matiere_Economie,Economie,Matiere
Matiere_Unified_Modeling_Language,Unified Modeling Language,Matiere
Matiere_UI_UX,UI/UX,Matiere
Matiere_Immunopathologie,Immunopathologie,Matiere
Matiere_Informatique_Scientifique,Informatique Scientifique,Matiere
Matiere_Technique_d_agence,Technique d'agence,Matiere
Competence_Traitement_Big_Data,Traitement Big Data,CompetenceDisciplinaire
CompetenceDisciplinaire,Compétence disciplinaire,
Interet_Benevolat_associatif,Bénévolat associatif,CentreInteret
Prerequis_Technique_industrielle,Technique industrielle,Prerequis
Competence_Controle_de_gestion,Contrôle de gestion,CompetenceDisciplinaire
Matiere_Algorithme_Avance,Algorithme Avancé,Matiere
Matiere_Atomistique,Atomistique,Matiere
Competence_Gestion_financiere_Analyse,Gestion financière & Analyse,CompetenceDisciplinaire
Matiere_Geometrie_appliquee_aux_Formes_et_Images,Géométrie appliquée aux Formes et Images,Matiere
Matiere_Programmation_Logique,Programmation Logique,Matiere
Metier_Gestionnaire_administratif_et_financier,Gestionnaire administratif et financier,Metier
Metier_Assistant_juridique_en_cabinet_d_avocats_ou_d_huissiers,Assistant juridique en cabinet d'avocats ou d'huissiers,Metier
Metier_Chef_Comptable,Chef Comptable,Metier
Matiere_Fondation,Fondation,Matiere
Matiere_Deep_Learning,Deep Learning,Matiere
Matiere_Java,Java,Matiere
Competence_Gestion_de_projet_Analyse_financiere,Gestion de projet & Analyse financière,CompetenceDisciplinaire
Metier_Webmaster_Developpeur_Front_end,Webmaster / Développeur Front-end,Metier
Interet_Langues_etrangeres,Langues étrangères,CentreInteret
Matiere_Biologie_Animale,Biologie Animale,Matiere
Metier_Comptable_Chef_Comptable_Expert_comptable_after_stage,Comptable / Chef Comptable / Expert-comptable (after stage),Metier
Matiere_Plantes_medicales,Plantes médicales,Matiere
Matiere_Electricite_des_batiments,Electricité des batiments,Matiere
Metier_Responsable_Maintenance,Responsable Maintenance,Metier
Matiere_Vibration,Vibration,Matiere
Metier_Tresorier_d_entreprise,Trésorier d'entreprise,Metier
Etudiant_P00803,P00803,Etudiant
Etudiant,Étudiant,
Matiere_Droit_de_la_concurrence,Droit de la concurrence,Matiere
Competence_Thermodynamique_Froid,Thermodynamique & Froid,CompetenceDisciplinaire
Matiere_physiologie_nutritionnelle,physiologie nutritionnelle,Matiere
Metier_Responsable_de_production_en_usine_Gestionnaire_d_atelier,Responsable de production en usine / Gestionnaire d'atelier,Metier
Competence_Droit_administratif_Constitutionnel,Droit administratif & Constitutionnel,CompetenceDisciplinaire
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Parcours
Matiere_C,C#,Matiere
Matiere_Economie_bleu,Economie bleu,Matiere
Parcours_Agriculture_et_Elevage,Agriculture et Élevage,Parcours
Matiere_Vulgarisation_agricole_et_animation_rurale,Vulgarisation agricole et animation rurale,Matiere
Matiere_Technologie_ferroviaire,Technologie ferroviaire,Matiere
Matiere_Physiologie_Vegetale,Physiologie Vegetale,Matiere
Competence_Connaissance_du_patrimoine_environnemental_et_culturel_malgache,Connaissance du patrimoine environnemental et culturel malgache,CompetenceDisciplinaire
Parcours_Genie_Civil_et_Architecture,Génie Civil et Architecture,Parcours
Matiere_Technique_des_batiments,Technique des batiments,Matiere
Matiere_Pharmacologie_des_grandes_fonctions,Pharmacologie des grandes fonctions,Matiere
Competence_curiosite,curiosité,CompetenceTransversale
Etudiant_P01139,P01139,Etudiant
Matiere_SVT,SVT,Matiere
Metier_Architecte_Hardware_Responsable_maintenance,Architecte Hardware / Responsable maintenance,Metier
Metier_Directeur_Administratif_et_Financier_DAF,Directeur Administratif et Financier (DAF),Metier
Matiere_Droit_des_biens,Droit des biens,Matiere
Matiere_Aviculture,Aviculture,Matiere
Matiere_Virologie,Virologie,Matiere
Competence_Agroecologie_Agriculture_Bio,Agroécologie & Agriculture Bio,CompetenceDisciplinaire
Metier_Consultant_environnemental,Consultant environnemental,Metier
Competence_Ingenierie_des_infrastructures_routieres_hydrauliques_et_portuaires,"Ingénierie des infrastructures routières, hydrauliques et portuaires",CompetenceDisciplinaire
Metier_Manager_d_entreprise,Manager d'entreprise,Metier
Competence_Developpement_rural_Vulgarisation,Développement rural & Vulgarisation,CompetenceDisciplinaire
Metier_Statisticien_financier_Actuaire,Statisticien financier / Actuaire,Metier
Matiere_AUTOCAD,AUTOCAD,Matiere
Matiere_Genetique,Génétique,Matiere
Metier_Chef_de_projet_BTP_services_industrie_public_prive,"Chef de projet (BTP, services, industrie, public/privé)",Metier
Competence_Analyse_des_marches_et_economie_monetaire_internationale,Analyse des marchés et économie monétaire/internationale,CompetenceDisciplinaire
appartientAMention,appartient à la mention,
Metier_Ingenieur_en_bureau_d_etudes,Ingénieur en bureau d'études,Metier
Etudiant_P00464,P00464,Etudiant
Competence_esprit_d_equipe,esprit d'équipe,CompetenceTransversale
Matiere_Technologie_des_batiments,Technologie des bâtiments,Matiere
Matiere_Technique_bancaire,Technique bancaire,Matiere
Metier_Charge_de_Recherche_et_Developpement_R_D_alimentaire,Chargé de Recherche et Développement (R&D) alimentaire,Metier
Matiere_Lait,Lait,Matiere
Etudiant_P01127,P01127,Etudiant
Matiere_Malgache,Malgache,Matiere
Competence_Technique_bancaire_Tresorerie,Technique bancaire & Trésorerie,CompetenceDisciplinaire
Matiere_Apiculture,Apiculture,Matiere
Competence_Suivi_evaluation,Suivi-évaluation,CompetenceDisciplinaire
Matiere_Combinatoire_et_probabilites,Combinatoire et probabilités,Matiere
Etudiant_P00978,P00978,Etudiant
Matiere_Bio_informatique,Bio-informatique,Matiere
Matiere_Gestion_previsionnelle,Gestion prévisionnelle,Matiere
Matiere_Ressources_minieres,Ressources minieres,Matiere
Competence_Sensibilisation_au_tourisme_durable,Sensibilisation au tourisme durable,CompetenceDisciplinaire
Metier_Ingenieur_en_Automatismes,Ingénieur en Automatismes,Metier
Etudiant_P00630,P00630,Etudiant
Competence_sens_de_l_observation,sens de l'observation,CompetenceTransversale
Matiere_Maintenance_avion,Maintenance avion,Matiere
Metier_Ingenieur_petrolier_prospection_forage_raffinage,"Ingénieur pétrolier (prospection, forage, raffinage)",Metier
Matiere_Electricite_Industrielle,Electricité Industrielle,Matiere
Matiere_Merise,Merise,Matiere
Matiere_Sites_touristiques,Sites touristiques,Matiere
Prerequis_Baccalaureat_serie_D,Baccalauréat série D,Prerequis
Etudiant_P01592,P01592,Etudiant
Matiere_Anglais,Anglais,Matiere
Prerequis_Baccalaureat_serie_A1,Baccalauréat série A1,Prerequis
Metier_Manager_de_filiere_agricole,Manager de filière agricole,Metier
Matiere_GLCIA,GLCIA,Matiere
Matiere_Thermochimie,Thermochimie,Matiere
Metier_Concepteur_Collaborateur_d_architecte,Concepteur / Collaborateur d'architecte,Metier
Matiere_Electronique,Electronique,Matiere
Metier_Responsable_Qualite_et_Hygiene_HACCP,Responsable Qualité et Hygiène (HACCP),Metier
Matiere_Resistance_des_materiaux,Resistance des matériaux,Matiere
Competence_autonomie,autonomie,CompetenceTransversale
Matiere_Politique_economique,Politique economique,Matiere
Competence_Calcul_de_structures_RDM,Calcul de structures & RDM,CompetenceDisciplinaire
Competence_Art_culinaire_Hygiene,Art culinaire & Hygiène,CompetenceDisciplinaire
Matiere_Mathematiques,Mathematiques,Matiere
Competence_Audit_Fiscalite,Audit & Fiscalité,CompetenceDisciplinaire
Matiere_Photo,Photo,Matiere
Metier_Analyste_Programmeur_Concepteur,Analyste-Programmeur / Concepteur,Metier
Matiere_Elevage,Elevage,Matiere
Matiere_Serriculture,Serriculture,Matiere
Competence_Management_d_equipe_and_planification_strategique,Management d'équipe and planification stratégique,CompetenceDisciplinaire
Matiere_Base_de_Donnees,Base de Données,Matiere
Competence_Gestion_financiere_et_previsionnelle_de_projets,Gestion financière et prévisionnelle de projets,CompetenceDisciplinaire
Metier_Ingenieur_Machine_Learning_Consultant_IA,Ingénieur Machine Learning / Consultant IA,Metier
Matiere_Cryptographie,Cryptographie,Matiere
Matiere_Petrologie,Petrologie,Matiere
Competence_Machine_Learning_Data_Science,Machine Learning & Data Science,CompetenceDisciplinaire
Matiere_Contrat_d_entreprise,Contrat d'entreprise,Matiere
Matiere_Algorithme,Algorithme,Matiere
Competence_perseverance,persévérance,CompetenceTransversale
Matiere_Culture_de_rentes,Culture de rentes,Matiere
Matiere_Hydraulique_routiere,Hydraulique routière,Matiere
Competence_Analyse_socio_economique_et_management_de_projet_de_developpement,Analyse socio-économique et management de projet de développement,CompetenceDisciplinaire
Matiere_Techno_Restau,Techno Restau,Matiere
Metier_Specialiste_en_procedes_industriels,Spécialiste en procédés industriels,Metier
Matiere_Droit_commercial,Droit commercial,Matiere
Etudiant_P00218,P00218,Etudiant
Etudiant_P00156,P00156,Etudiant
Competence_Gestion_de_la_production_industrielle_et_emballage_alimentaire,Gestion de la production industrielle et emballage alimentaire,CompetenceDisciplinaire
Metier_Controleur_de_gestion,Contrôleur de gestion,Metier
Matiere_Environnement,Environnement,Matiere
Metier_Urbaniste_Expert_en_amenagement_du_territoire,Urbaniste / Expert en aménagement du territoire,Metier
Competence_Comptabilite_financiere,Comptabilité financière,CompetenceDisciplinaire
Matiere_Gestion_de_projet_de_developpement,Gestion de projet de developpement,Matiere
Prerequis_Baccalaureat_serie_DAMB,Baccalauréat série DAMB,Prerequis
Matiere_Agroecologie,Agroecologie,Matiere
Matiere_Assembleur,Assembleur,Matiere
Matiere_Neuro_marketing,Neuro-marketing,Matiere
Etudiant_P01348,P01348,Etudiant
Competence_Gestion_technique_et_administrative_de_chantiers_BTP,Gestion technique et administrative de chantiers BTP,CompetenceDisciplinaire
Matiere_Mecanique_des_sols,Mécanique des sols,Matiere
Parcours_Economie_et_Management_de_Projet,Économie et Management de Projet,Parcours
Metier_Responsable_de_projet_de_developpement_ONG_International,Responsable de projet de développement (ONG / International),Metier
Matiere_Arboriculture_fruitiere,Arboriculture fruitiere,Matiere
Metier_Expert_en_genie_climatique_industriel,Expert en génie climatique industriel,Metier
Etudiant_P00975,P00975,Etudiant
Matiere_Thermo_physique,Thermo physique,Matiere
Matiere_Zootechnie,Zootechnie,Matiere
Competence_Dimensionnement_et_calcul_de_structures_RDM_Elements_finis,"Dimensionnement et calcul de structures (RDM, Éléments finis)",CompetenceDisciplinaire
Matiere_Macroeconomie,Macroeconomie,Matiere
Metier_Consultant_en_management_et_developpement,Consultant en management et développement,Metier
Matiere_Maintenance_des_batiments,Maintenance des bâtiments,Matiere
Matiere_Mecanique_analytique,Mecanique analytique,Matiere
Etudiant_P01185,P01185,Etudiant
Competence_Veille_reglementaire_et_securisation_contractuelle_des_affaires,Veille réglementaire et sécurisation contractuelle des affaires,CompetenceDisciplinaire
Competence_Maintenance_Hardware_Microcontroleurs,Maintenance Hardware & Microcontrôleurs,CompetenceDisciplinaire
Interet_Sport,Sport,CentreInteret
Etudiant_P00305,P00305,Etudiant
Parcours,Parcours,
Metier_Responsable_des_ressources_humaines_Volet_juridique_Droit_du_travail,Responsable des ressources humaines (Volet juridique/Droit du travail),Metier
Competence_Maitrise_de_l_accueil_de_l_hygiene_et_de_la_relation_client_de_luxe,"Maîtrise de l'accueil, de l'hygiène et de la relation client de luxe",CompetenceDisciplinaire
Competence_Droit_foncier_Minier,Droit foncier & Minier,CompetenceDisciplinaire
Competence_Genie_des_procedes_Chimie,Génie des procédés & Chimie,CompetenceDisciplinaire
Metier_Ingenieur_Chimiste,Ingénieur Chimiste,Metier
Metier_Gestionnaire_de_tresorerie_Tresorier_d_entreprise,Gestionnaire de trésorerie / Trésorier d'entreprise,Metier
Matiere_Ethnopharmacologie,Ethnopharmacologie,Matiere
Competence_Production_montage_et_traitement_audiovisuel_Son_Photo_Video,"Production, montage et traitement audiovisuel (Son, Photo, Vidéo)",CompetenceDisciplinaire
Interet_Dessin_et_design,Dessin et design,CentreInteret
Competence_Pilotage_des_procedes_de_transformation_agroalimentaire_cafe_cacao_lait,"Pilotage des procédés de transformation agroalimentaire (café, cacao, lait)",CompetenceDisciplinaire
Metier_Responsable_suivi_evaluation_de_projets,Responsable suivi-évaluation de projets,Metier
Etudiant_P00433,P00433,Etudiant
Competence_sens_de_l_organisation,sens de l'organisation,CompetenceTransversale
Metier_UX_Designer_Developpeur_Multimedia,UX Designer / Développeur Multimédia,Metier
Competence_Gestion_et_pilotage_de_projets_de_developpement_rural_et_agrobusiness,Gestion et pilotage de projets de développement rural et agrobusiness,CompetenceDisciplinaire
Metier_Ingenieur_en_automatisation_et_robotique_industrielle,Ingénieur en automatisation et robotique industrielle,Metier
Competence_Expertise_en_geotechnique_et_mecanique_des_sols,Expertise en géotechnique et mécanique des sols,CompetenceDisciplinaire
Matiere_Bacteriologie_medicale,Bactériologie medicale,Matiere
aLibelle,aLibelle,
Matiere_Ossatures_bois,Ossatures bois,Matiere
Metier_Guide_touristique_expert_Interprete,Guide touristique expert / Interprète,Metier
Matiere_Langage_C,Langage C,Matiere
Matiere_Organisation,Organisation,Matiere
Interet_Gestion,Gestion,CentreInteret
Matiere_Droit_des_douanes,Droit des douanes,Matiere
Competence_Ecotourisme_Environnement,Ecotourisme & Environnement,CompetenceDisciplinaire
Matiere_Immunologie,Immunologie,Matiere
Matiere_Developpement_rural,Developpement rural,Matiere
Matiere_Civilisation_appliquee,Civilisation appliquée,Matiere
Competence_Gestion_administrative_organisationnelle_et_management_d_entreprise,"Gestion administrative, organisationnelle et management d'entreprise",CompetenceDisciplinaire
Competence_Raffinage_Petrochimie,Raffinage & Pétrochimie,CompetenceDisciplinaire
Matiere_Moteur_a_combustion_interne,Moteur à combustion interne,Matiere
Metier_Responsable_logistique_de_denrees_perissables,Responsable logistique de denrées périssables,Metier
Matiere_Physiologie_animale,Physiologie animale,Matiere
prepareA,prépare à,
Competence_Gestion_de_projet_informatique,Gestion de projet informatique,CompetenceDisciplinaire
Matiere_Cybersecurite,Cybersécurité,Matiere
Competence_Maitrise_de_la_securite_sanitaire_et_normes_qualite_HACCP_ISO,"Maîtrise de la sécurité sanitaire et normes qualité (HACCP, ISO)",CompetenceDisciplinaire
Interet_Reseaux_sociaux_et_numerique,Réseaux sociaux et numérique,CentreInteret
Matiere_Additifs_alimentaires,Additifs alimentaires,Matiere
Competence_Management_hotelier_Restauration,Management hôtelier & Restauration,CompetenceDisciplinaire
Matiere_Son,Son,Matiere
Metier_Auditeur_fiscal,Auditeur fiscal,Metier
Etudiant_P00957,P00957,Etudiant
Prerequis_Baccalaureat_serie_L,Baccalauréat série L,Prerequis
Competence_Gestion_de_projets_de_communication_digitale_et_PAO,Gestion de projets de communication digitale et PAO,CompetenceDisciplinaire
Metier_Tous_les_metiers_du_secteur_IT_Mention_Informatique_Telecommunications,Tous les métiers du secteur IT (Mention Informatique & Télécommunications),Metier
Metier_Analyste_financier_en_banque_ou_cabinet_d_audit,Analyste financier en banque ou cabinet d'audit,Metier
Competence_Audit_financier_et_controle_de_gestion_approfondi,Audit financier et contrôle de gestion approfondi,CompetenceDisciplinaire
Matiere_Droit_minier,Droit minier,Matiere
Metier_Ingenieur_de_maintenance_electronique,Ingénieur de maintenance électronique,Metier
Matiere_Experimentation_biometrique,Experimentation biometrique,Matiere
Matiere_SGBDR,SGBDR,Matiere
Competence_Maintenance_multi_technique,Maintenance multi-technique,CompetenceDisciplinaire
Matiere_Genie_fermentaire,Genie fermentaire,Matiere
Matiere_Linux,Linux,Matiere
Matiere_Francais,Francais,Matiere
Etudiant_P01067,P01067,Etudiant
Matiere_Histoire_Geo,Histoire Geo,Matiere
Metier_Ingenieur_en_maintenance_industrielle_Responsable_Maintenance,Ingénieur en maintenance industrielle / Responsable Maintenance,Metier
Matiere_Biotechnologie,Biotechnologie,Matiere
Metier_Conseiller_juridique_en_entreprise_Juriste_d_affaires,Conseiller juridique en entreprise / Juriste d'affaires,Metier
Metier_Professionnel_du_secteur_du_tourisme,Professionnel du secteur du tourisme,Metier
prefere,préfère,
Matiere_Economie_monetaire,Economie monetaire,Matiere
Etudiant_P00495,P00495,Etudiant
Competence_rigueur,rigueur,CompetenceTransversale
Matiere_Hydrologie,Hydrologie,Matiere
Metier_Gestionnaire_d_unites_de_transformation_Chef_de_production,Gestionnaire d'unités de transformation / Chef de production,Metier
Matiere_Mathematique_financiere,Mathematique financiere,Matiere
Matiere_Telecommunication,Télécommunication,Matiere
Matiere_Biochimie,Biochimie,Matiere
Matiere_Biologie_vegetale,Biologie végétale,Matiere
Matiere_Hydrologie_appliquee,Hydrologie appliquée,Matiere
Metier_Analyste_economique_Charge_d_etudes_economiques,Analyste économique / Chargé d'études économiques,Metier
Matiere_Pascal,Pascal,Matiere
Competence_aisance_relationnelle,aisance relationnelle,CompetenceTransversale
Matiere_Fiscalite,Fiscalité,Matiere
Competence_Modelisation_predictive_Machine_Learning_Deep_Learning,Modélisation prédictive (Machine Learning & Deep Learning),CompetenceDisciplinaire
Etudiant_P01335,P01335,Etudiant
Matiere_Gestion_de_Projet,Gestion de Projet,Matiere
Matiere_Dessin,Dessin,Matiere
Interet_Automobile_et_aeronautique,Automobile et aéronautique,CentreInteret
Matiere_Fruits_et_legumes,Fruits et légumes,Matiere
Competence_Statistiques_appliquees_Analyse,Statistiques appliquées & Analyse,CompetenceDisciplinaire
Interet_Mecanique,Mécanique,CentreInteret
CentreInteret,Centre d'intérêt,
Competence_Ethnopharmacologie_Phytochimie,Ethnopharmacologie & Phytochimie,CompetenceDisciplinaire
Matiere_Ondes_et_Propagations,Ondes et Propagations,Matiere
Competence_Amenagement_urbain_portuaire,Aménagement urbain & portuaire,CompetenceDisciplinaire
Matiere_Musique,Musique,Matiere
Matiere_Informatique_Quantique,Informatique Quantique,Matiere
Etudiant_P01247,P01247,Etudiant
Matiere_Port,Port,Matiere
Competence_Gestion_de_chantier_Metre,Gestion de chantier & Métré,CompetenceDisciplinaire
Metier_Analyste_de_donnees_Statisticien,Analyste de données / Statisticien,Metier
Metier_Responsable_ecotourisme_Consultant_en_developpement_durable,Responsable écotourisme / Consultant en développement durable,Metier
Matiere_Chimie_industrielle,Chimie industrielle,Matiere
Competence_Maitrise_des_techniques_de_negociation_et_de_vente_internationale,Maîtrise des techniques de négociation et de vente internationale,CompetenceDisciplinaire
Competence_Technique_d_agence_Accueil,Technique d'agence & Accueil,CompetenceDisciplinaire
Matiere_Arts,Arts,Matiere
Matiere_Economie_mathematique,Economie mathematique,Matiere
Interet_Lecture,Lecture,CentreInteret
Metier_Juriste_en_administration_publique,Juriste en administration publique,Metier
Matiere_ARCHICAD,ARCHICAD,Matiere
Metier_Ingenieur_Big_Data,Ingénieur Big Data,Metier
Prerequis_Baccalaureat_serie_A2,Baccalauréat série A2,Prerequis
Prerequis_Baccalaureat_serie_TMEL,Baccalauréat série TMEL,Prerequis
Metier_Specialiste_en_communication_digitale_Community_Manager,Spécialiste en communication digitale / Community Manager,Metier
Source_ISPM_Les_differents_departements_et_filieres,ISPM — Les différents départements et filières,Source
Matiere_Immuno_clinique,Immuno clinique,Matiere
Matiere_Phytochimie,Phytochimie,Matiere
Competence_Conception_et_modelisation_logicielle_avancee_UML_Merise,"Conception et modélisation logicielle avancée (UML, Merise)",CompetenceDisciplinaire
Source_ISPM_Presentation_generale,ISPM — Présentation générale,Source
Competence_Maitrise_de_la_fiscalite_d_entreprise_et_du_droit_des_societes,Maîtrise de la fiscalité d'entreprise et du droit des sociétés,CompetenceDisciplinaire
Matiere_Finance_mathematique,Finance mathématique,Matiere
Matiere_Maintenance_des_Systemes_Electroniques,Maintenance des Systèmes Electroniques,Matiere
aCentreInteret,a pour centre d'intérêt,
provientDeSource,provient de la source,
Matiere_Droit_de_la_procedure_collective,Droit de la procedure collective,Matiere
Competence_Conception_et_programmation_de_systemes_embarques_Microcontroleurs,Conception et programmation de systèmes embarqués (Microcontrôleurs),CompetenceDisciplinaire
Matiere_Technique_de_vente,Technique de vente,Matiere
Matiere_Pharmacologie_moleculaire_et_cellulaire,Pharmacologie moléculaire et cellulaire,Matiere
Competence_Marketing_International,Marketing International,CompetenceDisciplinaire
Metier_Responsable_export,Responsable export,Metier
Matiere_Pharmacologie_moleculaire,Pharmacologie moléculaire,Matiere
Competence_Management_strategique,Management stratégique,CompetenceDisciplinaire
Matiere_Chimie_organique,Chimie organique,Matiere
Matiere_Choix_d_investissement,Choix d'investissement,Matiere
Matiere_Economie_de_l_environnement,Economie de l'environnement,Matiere
Etudiant_P01545,P01545,Etudiant
Matiere_Biologie_Vegetale,Biologie Vegetale,Matiere
Metier_Responsable_commercial,Responsable commercial,Metier
Matiere_Hygiene,Hygiène,Matiere
Metier_Entrepreneur_en_BTP_Maitre_d_uvre,Entrepreneur en BTP / Maître d'œuvre,Metier
Competence_Ingenierie_hydraulique_routiere,Ingénierie hydraulique & routière,CompetenceDisciplinaire
Matiere_Genie_industriel_alimentaire,Génie industriel alimentaire,Matiere
Matiere_Petrochimie,Petrochimie,Matiere
Competence_Conseil_juridique_strategique_et_defense_des_interets_de_l_entreprise,Conseil juridique stratégique et défense des intérêts de l'entreprise,CompetenceDisciplinaire
Metier_Technicien_Ingenieur_de_laboratoire,Technicien / Ingénieur de laboratoire,Metier
Metier_Conducteur_de_travaux,Conducteur de travaux,Metier
Competence_Conception_et_programmation_de_systemes_automatises_Grafcet_Automates,"Conception et programmation de systèmes automatisés (Grafcet, Automates)",CompetenceDisciplinaire
Metier_Responsable_restauration,Responsable restauration,Metier
Matiere_Microbiologie_alimentaire,Microbiologie alimentaire,Matiere
Competence_Toxicologie_Securite_alimentaire,Toxicologie & Sécurité alimentaire,CompetenceDisciplinaire
Matiere_Metier_des_batiments,Metier des batiments,Matiere
Competence_Maitrise_du_droit_minier_et_de_la_reglementation_sectorielle,Maîtrise du droit minier et de la réglementation sectorielle,CompetenceDisciplinaire
Matiere_Droit_de_travail,Droit de travail,Matiere
Matiere_Sucre,Sucre,Matiere
Competence_Maitrise_des_procedes_de_genie_chimique_et_industriel,Maîtrise des procédés de génie chimique et industriel,CompetenceDisciplinaire
Interet_Jeux_video,Jeux vidéo,CentreInteret
Metier_Organisateur_d_evenements_congres_et_sejours_MICE,"Organisateur d'événements, congrès et séjours (MICE)",Metier
Matiere_Finance_d_entreprise,Finance d'entreprise,Matiere
Formation,Formation,
Etudiant_P01479,P01479,Etudiant
Competence_Agronomie_Zootechnie,Agronomie & Zootechnie,CompetenceDisciplinaire
Matiere_Agronomie_tropicale,Agronomie tropicale,Matiere
Metier_Ingenieur_d_infrastructures,Ingénieur d'infrastructures,Metier
Matiere_JavaScript,JavaScript,Matiere
Competence_Droit_des_contrats_Societes,Droit des contrats & Sociétés,CompetenceDisciplinaire
Metier_Responsable_des_Ressources_Humaines,Responsable des Ressources Humaines,Metier
Metier_Architecte_junior_Collaborateur_d_architecte,Architecte junior / Collaborateur d'architecte,Metier
Metier_Responsable_Marketing_Chef_de_produit_commercial,Responsable Marketing / Chef de produit commercial,Metier
Matiere_Economie_industrielle,Economie industrielle,Matiere
Etudiant_P00488,P00488,Etudiant
Prerequis_Baccalaureat_serie_TMA,Baccalauréat série TMA,Prerequis
Matiere_Mecanique_appliquee,Mécanique appliquée,Matiere
Mention_Genie_Industriel,Génie Industriel,Mention
Matiere_Economie_de_developpement, Economie de developpement,Matiere
Metier_Directeur_artistique_numerique_Motion_Designer,Directeur artistique numérique / Motion Designer,Metier
Metier_Responsable_Qualite,Responsable Qualité,Metier
Matiere_Processus_Stochastique,Processus Stochastique,Matiere
Matiere_Capteurs,Capteurs,Matiere
Matiere_Automatique,Automatique,Matiere
Metier_Ingenieur_en_bureau_d_etudes_mecanique,Ingénieur en bureau d'études mécanique,Metier
Matiere_Electricite,Electricité,Matiere
Competence_Formulation_fabrication_et_controle_de_produits_pharmaceutiques,"Formulation, fabrication et contrôle de produits pharmaceutiques",CompetenceDisciplinaire
